id;name;description;type;parent_tag_id;created_at;updated_at;hide_in_liturgy
513;sv. Ambrože;;40;;;;0
514;sv. Lucie;;40;;;;0
515;sv. Jana od Kříže;;40;;;;0
516;sv. Františka Xaverského;;40;;;;0
517;sv. Edmunda Kampiána;;40;;;;0
518;sv. Jana Damašského;;40;;;;0
519;sv. Mikuláše;;40;;;;0
520;sv. Jana Didaka Cuauhtlatoatzina;;40;;;;0
521;sv. Damasa I.;;40;;;;0
522;Panny Marie Guadalupské;;40;;;;0
523;sv. Petra Kanisia;;40;;;;0
524;sv. Jana Kentského;;40;;;;0
525;sv. Tomáše Becketa;;40;;;;0
526;sv. Silvestra I.;;40;;;;0
527;"Panny Marie, Matky církve";;40;;;;0
528;"Ježíše Krista, nejvyššího a věčného kněze";;40;;;;0
529;Nejsvětější Trojice;;40;;;;0
530;Těla a Krve Páně;;40;;;;0
531;Nejsvětějšího Srdce Ježíšova;;40;;;;0
532;Neposkvrněného Srdce Panny Marie;;40;;;;0
