id;name;description;type;parent_tag_id;created_at;updated_at;hide_in_liturgy;order;lit_day_identificator
331;sv. Františky Římské;;40;;;;0;;frances_of_rome_religious
332;sv. Jana Ogilvie;;40;;;;0;;john_ogilvie_priest
333;sv. Patrika;;40;;;;0;;patrick_of_ireland_bishop
334;sv. Cyrila Jeruzalémského;;40;;;;0;;cyril_of_jerusalem_bishop
335;sv. Turibia z Mongroveja;;40;;;;0;;turibius_of_mogrovejo_bishop
336;sv. Vojtěcha;;40;;;;0;;adalbert_of_prague_bishop
337;sv. Marka;;40;;;;0;;mark_evangelist
338;sv. Kateřiny Sienské;;40;;;;0;;catherine_of_siena_virgin
339;sv. Jana Křtitele de la Salle;;40;;;;0;;john_baptist_de_la_salle_priest
340;sv. Stanislava;;40;;;;0;;stanislaus_of_szczepanow_bishop
341;sv. Františka z Pauly;;40;;;;0;;francis_of_paola_hermit
342;sv. Izidora;;40;;;;0;;isidore_of_seville_bishop
343;sv. Vincence Ferrerského;;40;;;;0;;vincent_ferrer_priest
344;sv. Martina I.;;40;;;;0;;martin_i_pope
345;sv. Anselma;;40;;;;0;;anselm_of_canterbury_bishop
346;sv. Jiřího;;40;;;;0;;george_of_lydda_martyr
347;sv. Fidela ze Sigmaringy;;40;;;;0;;fidelis_of_sigmaringen_priest
348;sv. Petra Chanela;;40;;;;0;;peter_chanel_priest
349;sv. Ludvíka Marie Grigniona z Montfortu;;40;;;;0;;louis_grignion_de_montfort_priest
350;sv. Zikmunda;;40;;;;0;;sigismund_of_burgundy_martyr
351;sv. Pia V.;;40;;;;0;;pius_v_pope
352;sv. Filipa a Jakuba;;40;;;;0;;philip_and_james_apostles
353;sv. Matěje;;40;;;;0;;matthias_apostle
354;sv. Jana Nepomuckého;;40;;;;0;;john_nepomucene_priest
355;Navštívení Panny Marie;;40;;;;0;;visitation_of_mary
356;sv. Atanáše;;40;;;;0;;athanasius_of_alexandria_bishop
357;sv. Filipa Neriho;;40;;;;0;;philip_neri_priest
358;sv. Zdislavy;;40;;;;0;;zdislava_of_lemberk
359;sv. Josefa, Dělníka;;40;;;;0;;joseph_the_worker
360;sv. Jana Sarkandra;;40;;;;0;;john_sarkander_priest
361;Panny Marie, Prostřednice všech milostí;;40;;;;0;;our_lady_mediatrix_of_all_grace
362;sv. Nerea a Achillea;;40;;;;0;;nereus_of_terracina_and_achilleus_of_terracina_martyrs
363;sv. Pankráce;;40;;;;0;;pancras_of_rome_martyr
364;Panny Marie Fatimské;;40;;;;0;;our_lady_of_fatima
365;sv. Jana I.;;40;;;;0;;john_i_pope
366;sv. Klementa Marie Hofbauera;;40;;;;0;;clement_mary_hofbauer_priest
367;sv. Bernardina Sienského;;40;;;;0;;bernardine_of_siena_priest
368;sv. Kryštofa Magallanese a druhů;;40;;;;0;;christopher_magallanes_priest_and_companions_martyrs
369;sv. Rity z Cascie;;40;;;;0;;rita_of_cascia_religious
370;sv. Augustina z Canterbury;;40;;;;0;;augustine_of_canterbury_bishop
371;Narození sv. Jana Křtitele;;40;;;;0;;nativity_of_john_the_baptist
372;sv. Petra a Pavla;;40;;;;0;;peter_and_paul_apostles
373;sv. Justina;;40;;;;0;;justin_martyr
374;sv. Karla Lwangy a druhů;;40;;;;0;;charles_lwanga_and_companions_martyrs
375;sv. Bonifáce;;40;;;;0;;boniface_of_mainz_bishop
376;sv. Barnabáše;;40;;;;0;;barnabas_apostle
377;sv. Antonína z Padovy;;40;;;;0;;anthony_of_padua_priest
378;sv. Aloise Gonzagy;;40;;;;0;;aloysius_gonzaga_religious
379;sv. Ireneje;;40;;;;0;;irenaeus_of_lyon_bishop
380;sv. Marcelina a Petra;;40;;;;0;;marcellinus_of_rome_and_peter_the_exorcist_martyrs
381;sv. Norberta;;40;;;;0;;norbert_of_xanten_bishop
382;sv. Efréma;;40;;;;0;;ephrem_the_syrian_deacon
383;sv. Víta;;40;;;;0;;vitus_of_lucania_martyr
384;sv. Jana Nepomuckého Neumanna;;40;;;;0;;john_nepomucene_neumann_bishop
385;sv. Romualda;;40;;;;0;;romuald_of_ravenna_abbot
386;sv. Paulina Nolánského;;40;;;;0;;paulinus_of_nola_bishop
387;sv. Jana Fishera, kněze, a Tomáše Mora;;40;;;;0;;john_fisher_bishop_and_thomas_more_martyrs
388;sv. Cyrila Alexandrijského;;40;;;;0;;cyril_of_alexandria_bishop
389;Svatých prvomučedníků římských;;40;;;;0;;first_martyrs_of_the_holy_roman_church
390;sv. Cyrila a Metoděje;;40;;;;0;;cyril_the_philosopher_monk_and_methodius_of_thessaloniki_bishop
391;sv. Tomáše;;40;;;;0;;thomas_apostle
392;sv. Benedikta;;40;;;;0;;benedict_of_nursia_abbot
393;sv. Marie Magdalény;;40;;;;0;;mary_magdalene
394;sv. Brigity;;40;;;;0;;bridget_of_sweden_religious
395;sv. Jakuba;;40;;;;0;;james_apostle
396;sv. Prokopa;;40;;;;0;;procopius_of_sazava_abbot
397;sv. Bonaventury;;40;;;;0;;bonaventure_of_bagnoregio_bishop
398;sv. Jáchyma a Anny;;40;;;;0;;joachim_and_anne_parents_of_mary
399;sv. Marty;;40;;;;0;;martha_of_bethany_mary_of_bethany_and_lazarus_of_bethany
400;sv. Ignáce z Loyoly;;40;;;;0;;ignatius_of_loyola_priest
401;sv. Apolináře;;40;;;;0;;apollinaris_of_ravenna_bishop
402;sv. Alžběty Portugalské;;40;;;;0;;elizabeth_of_portugal
403;sv. Marie Gorettiové;;40;;;;0;;maria_goretti_virgin
